pressure_factor,delta_prime_21_real,delta_prime_21_imag,delta_prime_31_real,delta_prime_31_imag,delta_W_plasma,delta_W_vacuum,delta_W_total,q_edge
1.0000000000e-03,1.0166533132e+01,-8.8572565126e-04,1.1405751895e+00,-4.6673598911e-02,2.2506009992e-01,9.3290589013e-01,1.1579659900e+00,3.5715579992e+00
5.0000000000e-03,1.0160744248e+01,-5.8099383211e-04,1.1791148005e+00,2.0215179476e-02,2.1757022616e-01,9.3375651261e-01,1.1513267388e+00,3.5717822171e+00
1.0000000000e-02,1.0223698548e+01,-1.1214734440e-03,1.3198323837e+00,6.9571371638e-02,2.0752515688e-01,9.3584922362e-01,1.1433743805e+00,3.5718453495e+00
2.0000000000e-02,1.0405814435e+01,2.1354772818e-05,1.5970405126e+00,4.6300526661e-03,1.8414516993e-01,9.3816339415e-01,1.1223085641e+00,3.5725319669e+00
3.0000000000e-02,1.0743424680e+01,-2.4789257679e-03,1.9285466292e+00,5.3793934463e-02,1.5672768512e-01,9.4106799594e-01,1.0977956811e+00,3.5732466396e+00
4.0000000000e-02,1.1097961729e+01,9.5416920822e-03,2.3772577044e+00,1.0572472734e-04,1.2527505782e-01,9.4470091748e-01,1.0699759753e+00,3.5739903966e+00
5.0000000000e-02,1.1541303371e+01,3.5910894977e-03,2.8832278971e+00,2.3110975191e-02,8.8924411178e-02,9.4942194444e-01,1.0383463556e+00,3.5747115228e+00
6.0000000000e-02,1.1984050440e+01,-2.0278759067e-03,3.5928295539e+00,4.6648322885e-02,4.7422583073e-02,9.5288278225e-01,1.0003053653e+00,3.5760200463e+00
7.0000000000e-02,1.2724779856e+01,3.9283359688e-02,4.3954244511e+00,9.5618874406e-02,1.7363128390e-04,9.5911852765e-01,9.5929215893e-01,3.5770256135e+00
8.0000000000e-02,1.3860022729e+01,-3.9805214889e-02,5.4173454854e+00,-1.4076821700e-01,-5.3123080221e-02,9.6594739204e-01,9.1282431182e-01,3.5783192053e+00
1.0000000000e-01,1.6445557758e+01,-1.4505365732e-02,8.3408107980e+00,-7.9258025709e-03,-1.8167431391e-01,9.8379190836e-01,8.0211759446e-01,3.5816141471e+00
1.1000000000e-01,1.8272062356e+01,2.1411948050e-02,1.0403837875e+01,-1.6300575805e-02,-2.5854696960e-01,9.9691295411e-01,7.3836598451e-01,3.5833926457e+00
1.2000000000e-01,2.1091637695e+01,-4.3580292105e-03,1.3152564869e+01,1.5510139394e-03,-3.4509298887e-01,1.0122367484e+00,6.6714375952e-01,3.5856149323e+00
1.3000000000e-01,2.4936223512e+01,2.0931151837e-02,1.6962906314e+01,-4.0753642484e-02,-4.4347089547e-01,1.0338329105e+00,5.9036201503e-01,3.5875884882e+00
1.4000000000e-01,2.9963757907e+01,1.7400085902e-03,2.2561129643e+01,-5.2879121737e-02,-5.5392612315e-01,1.0591529781e+00,5.0522685497e-01,3.5901376343e+00
1.4500000000e-01,3.3875241532e+01,2.2095580956e-02,2.6484348088e+01,4.9878900678e-02,-6.1484876656e-01,1.0748295460e+00,4.5998077942e-01,3.5913601925e+00
1.5000000000e-01,3.8654059113e+01,4.0127859750e-02,3.1370261293e+01,1.5900329286e-02,-6.7929565772e-01,1.0913095403e+00,4.1201388258e-01,3.5928796741e+00
1.5250000000e-01,4.1859165559e+01,-2.6082868655e-02,3.4576083769e+01,-2.4485093969e-02,-7.1385014680e-01,1.1014868619e+00,3.8763671505e-01,3.5934080671e+00
1.5500000000e-01,4.5405607218e+01,-6.0050929333e-03,3.8247673373e+01,1.3465163901e-02,-7.4862151972e-01,1.1112812784e+00,3.6265975866e-01,3.5941499969e+00
1.5750000000e-01,4.9691610946e+01,6.6333000899e-02,4.2328229053e+01,4.8280270958e-02,-7.8464318584e-01,1.1218377765e+00,3.3719459071e-01,3.5948631392e+00
1.6000000000e-01,5.4562217937e+01,-1.1768515216e-01,4.7565855423e+01,1.0137644944e-02,-8.2251120432e-01,1.1336212576e+00,3.1111005327e-01,3.5954589644e+00
1.6250000000e-01,6.0630845512e+01,5.2665330351e-02,5.3867937948e+01,1.0631034397e-02,-8.6153301501e-01,1.1458617270e+00,2.8432871200e-01,3.5961264707e+00
