 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:     101
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
     -50    -0.763E-07     0.905E-07    -0.631E-08     0.145E-07
     -49    -0.170E-06     0.861E-07    -0.393E-09     0.246E-08
     -48    -0.216E-06     0.522E-07     0.117E-08    -0.256E-07
     -47    -0.201E-06    -0.209E-07     0.942E-08     0.203E-07
     -46    -0.143E-06    -0.642E-07    -0.523E-08    -0.146E-08
     -45    -0.585E-07    -0.691E-07    -0.244E-07     0.194E-07
     -44    -0.270E-07    -0.289E-07     0.205E-07    -0.361E-07
     -43    -0.785E-09     0.268E-07     0.244E-07    -0.162E-07
     -42     0.473E-07     0.124E-07     0.213E-07     0.902E-08
     -41     0.112E-06    -0.218E-07    -0.389E-07     0.741E-07
     -40     0.187E-06    -0.828E-07    -0.140E-06     0.100E-06
     -39     0.147E-06    -0.109E-06    -0.210E-06     0.547E-07
     -38     0.898E-07    -0.208E-07    -0.206E-06     0.151E-07
     -37     0.548E-07     0.793E-07    -0.140E-06    -0.570E-07
     -36     0.969E-07     0.118E-06    -0.118E-06    -0.819E-07
     -35     0.174E-06     0.108E-06    -0.513E-07    -0.105E-07
     -34     0.150E-06     0.111E-06    -0.712E-07    -0.133E-08
     -33     0.265E-07     0.165E-06    -0.777E-08     0.608E-07
     -32    -0.804E-07     0.289E-06     0.178E-06    -0.335E-07
     -31    -0.166E-06     0.229E-06     0.732E-07    -0.990E-07
     -30    -0.211E-06     0.565E-07     0.288E-06    -0.124E-06
     -29    -0.288E-06    -0.106E-06    -0.175E-06    -0.275E-07
     -28    -0.384E-06    -0.194E-06     0.440E-06     0.143E-06
     -27    -0.366E-06    -0.242E-06    -0.444E-06    -0.180E-06
     -26    -0.267E-06    -0.302E-06     0.992E-06     0.613E-06
     -25    -0.706E-07    -0.548E-06    -0.874E-06    -0.104E-05
     -24     0.284E-07    -0.745E-06     0.124E-05     0.214E-05
     -23     0.214E-06    -0.784E-06    -0.120E-05    -0.278E-05
     -22     0.360E-06    -0.824E-06     0.853E-06     0.489E-05
     -21     0.394E-06    -0.820E-06    -0.291E-06    -0.647E-05
     -20     0.406E-06    -0.875E-06    -0.159E-05     0.866E-05
     -19     0.350E-06    -0.833E-06     0.310E-05    -0.108E-04
     -18     0.214E-06    -0.538E-06    -0.654E-05     0.123E-04
     -17    -0.140E-07    -0.242E-07     0.871E-05    -0.136E-04
     -16    -0.431E-06     0.554E-06    -0.116E-04     0.131E-04
     -15    -0.109E-05     0.144E-05     0.125E-04    -0.137E-04
     -14    -0.190E-05     0.294E-05    -0.118E-04     0.114E-04
     -13    -0.277E-05     0.466E-05     0.919E-05    -0.118E-04
     -12    -0.415E-05     0.662E-05    -0.320E-05     0.976E-05
     -11    -0.568E-05     0.929E-05    -0.295E-05    -0.122E-04
     -10    -0.753E-05     0.126E-04     0.105E-04     0.114E-04
      -9    -0.101E-04     0.156E-04    -0.140E-04    -0.124E-04
      -8    -0.126E-04     0.202E-04     0.153E-04     0.684E-05
      -7    -0.153E-04     0.235E-04    -0.120E-04     0.143E-05
      -6    -0.182E-04     0.287E-04     0.586E-05    -0.113E-04
      -5    -0.243E-04     0.301E-04    -0.151E-05     0.194E-04
      -4    -0.181E-04     0.332E-04    -0.727E-05    -0.936E-05
      -3    -0.314E-04     0.316E-04     0.585E-05     0.390E-05
      -2    -0.812E-05     0.242E-04    -0.117E-04     0.187E-04
      -1    -0.389E-04     0.349E-04    -0.569E-05     0.150E-05
       0     0.183E-04    -0.219E-04    -0.209E-05     0.944E-05
       1    -0.275E-04     0.444E-04    -0.144E-04     0.244E-04
       2    -0.224E-04     0.123E-04    -0.164E-04     0.228E-04
       3    -0.256E-04     0.365E-04    -0.127E-04     0.177E-04
       4    -0.295E-04     0.237E-04    -0.165E-04     0.270E-04
       5    -0.254E-04     0.292E-04    -0.262E-04     0.396E-04
       6    -0.251E-04     0.229E-04    -0.290E-04     0.376E-04
       7    -0.206E-04     0.191E-04    -0.212E-04     0.254E-04
       8    -0.178E-04     0.158E-04    -0.121E-04     0.160E-04
       9    -0.137E-04     0.125E-04    -0.100E-04     0.141E-04
      10    -0.112E-04     0.943E-05    -0.142E-04     0.174E-04
      11    -0.835E-05     0.700E-05    -0.198E-04     0.225E-04
      12    -0.600E-05     0.500E-05    -0.245E-04     0.267E-04
      13    -0.433E-05     0.327E-05    -0.271E-04     0.286E-04
      14    -0.279E-05     0.209E-05    -0.275E-04     0.280E-04
      15    -0.146E-05     0.101E-05    -0.259E-04     0.254E-04
      16    -0.702E-06     0.199E-06    -0.233E-04     0.221E-04
      17    -0.200E-06    -0.316E-06    -0.201E-04     0.185E-04
      18     0.276E-06    -0.630E-06    -0.166E-04     0.150E-04
      19     0.555E-06    -0.810E-06    -0.133E-04     0.117E-04
      20     0.601E-06    -0.862E-06    -0.104E-04     0.896E-05
      21     0.564E-06    -0.827E-06    -0.794E-05     0.659E-05
      22     0.591E-06    -0.778E-06    -0.572E-05     0.468E-05
      23     0.593E-06    -0.609E-06    -0.389E-05     0.312E-05
      24     0.604E-06    -0.399E-06    -0.249E-05     0.183E-05
      25     0.444E-06    -0.246E-06    -0.147E-05     0.845E-06
      26     0.251E-06     0.127E-07    -0.649E-06     0.141E-06
      27     0.223E-06     0.141E-06     0.636E-08    -0.339E-06
      28     0.192E-06     0.189E-06     0.311E-06    -0.637E-06
      29     0.989E-07     0.129E-06     0.439E-06    -0.794E-06
      30    -0.647E-07     0.101E-06     0.522E-06    -0.846E-06
      31    -0.234E-06     0.104E-06     0.590E-06    -0.788E-06
      32    -0.301E-06     0.461E-07     0.679E-06    -0.736E-06
      33    -0.192E-06    -0.669E-07     0.609E-06    -0.581E-06
      34    -0.155E-06    -0.186E-06     0.455E-06    -0.342E-06
      35    -0.152E-06    -0.199E-06     0.339E-06    -0.905E-07
      36    -0.145E-06    -0.112E-06     0.325E-06     0.621E-07
      37    -0.968E-07    -0.690E-07     0.287E-06     0.106E-06
      38    -0.232E-08    -0.114E-06     0.178E-06     0.107E-06
      39     0.759E-07    -0.181E-06    -0.296E-07     0.152E-06
