 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
     -30     0.385E-05    -0.468E-04    -0.118E-04     0.599E-06
     -29     0.135E-04    -0.516E-04     0.132E-04    -0.985E-05
     -28     0.144E-04    -0.559E-04    -0.773E-05     0.124E-05
     -27     0.242E-04    -0.643E-04     0.649E-05     0.491E-05
     -26     0.250E-04    -0.639E-04    -0.116E-04     0.103E-04
     -25     0.322E-04    -0.755E-04     0.802E-05    -0.152E-04
     -24     0.346E-04    -0.694E-04     0.105E-07    -0.169E-05
     -23     0.359E-04    -0.843E-04     0.423E-05    -0.629E-05
     -22     0.441E-04    -0.724E-04    -0.374E-05     0.230E-04
     -21     0.339E-04    -0.883E-04    -0.847E-05    -0.121E-05
     -20     0.540E-04    -0.762E-04     0.426E-05     0.386E-05
     -19     0.292E-04    -0.841E-04    -0.454E-05    -0.279E-04
     -18     0.608E-04    -0.849E-04     0.214E-04    -0.486E-05
     -17     0.312E-04    -0.736E-04    -0.121E-04    -0.543E-05
     -16     0.608E-04    -0.952E-04     0.190E-04     0.268E-04
     -15     0.463E-04    -0.660E-04    -0.376E-04     0.309E-04
     -14     0.586E-04    -0.992E-04     0.119E-04     0.228E-04
     -13     0.727E-04    -0.668E-04    -0.450E-04     0.138E-04
     -12     0.603E-04    -0.904E-04     0.308E-04    -0.431E-04
     -11     0.105E-03    -0.765E-04    -0.152E-04    -0.508E-04
     -10     0.734E-04    -0.570E-04     0.763E-04    -0.128E-03
      -9     0.119E-03    -0.876E-04     0.227E-04    -0.114E-03
      -8     0.109E-03    -0.665E-05     0.112E-03    -0.183E-03
      -7     0.100E-03    -0.656E-04     0.357E-04    -0.147E-03
      -6     0.143E-03     0.395E-04     0.122E-03    -0.212E-03
      -5     0.599E-04    -0.105E-04     0.676E-04    -0.185E-03
      -4     0.160E-03     0.850E-04     0.171E-03    -0.233E-03
      -3     0.292E-05     0.773E-04     0.167E-03    -0.169E-03
      -2     0.126E-03     0.160E-03     0.242E-03    -0.237E-03
      -1    -0.801E-04     0.144E-03     0.314E-03    -0.209E-04
       0     0.197E-04     0.181E-04     0.153E-03     0.116E-03
       1     0.235E-04     0.834E-04     0.195E-03     0.181E-03
       2    -0.157E-03     0.166E-04    -0.410E-05     0.155E-03
       3    -0.110E-03     0.318E-04    -0.161E-03     0.959E-04
       4    -0.132E-03     0.361E-04    -0.250E-03     0.711E-04
       5    -0.137E-03     0.262E-04    -0.252E-03     0.103E-04
       6    -0.117E-03     0.778E-05    -0.178E-03    -0.635E-04
       7    -0.112E-03    -0.140E-04    -0.915E-04    -0.120E-03
       8    -0.780E-04    -0.218E-04    -0.963E-05    -0.140E-03
       9    -0.791E-04    -0.436E-04     0.299E-04    -0.138E-03
      10    -0.332E-04    -0.551E-04     0.388E-04    -0.996E-04
      11    -0.326E-04    -0.540E-04     0.639E-05    -0.800E-04
      12    -0.494E-05    -0.686E-04    -0.118E-04    -0.452E-04
      13     0.553E-05    -0.609E-04    -0.451E-04    -0.421E-04
      14     0.135E-04    -0.579E-04    -0.350E-04    -0.327E-04
      15     0.127E-04    -0.606E-04    -0.387E-04    -0.358E-04
      16     0.266E-04    -0.481E-04    -0.112E-04    -0.337E-04
      17     0.381E-05    -0.412E-04    -0.270E-05    -0.212E-04
      18     0.182E-04    -0.468E-04     0.958E-05    -0.785E-05
      19     0.134E-05    -0.217E-04     0.126E-04     0.105E-04
      20    -0.457E-05    -0.376E-04     0.328E-05     0.203E-04
      21    -0.155E-05    -0.179E-04     0.189E-05     0.891E-05
      22    -0.189E-04    -0.227E-04    -0.723E-05     0.348E-05
      23    -0.110E-04    -0.208E-04    -0.396E-05    -0.198E-04
      24    -0.207E-04    -0.157E-04     0.177E-05    -0.142E-05
      25    -0.187E-04    -0.222E-04     0.485E-06    -0.201E-05
      26    -0.172E-04    -0.188E-04     0.723E-05     0.165E-04
      27    -0.183E-04    -0.239E-04    -0.766E-05    -0.373E-05
      28    -0.119E-04    -0.272E-04     0.326E-05    -0.621E-05
      29    -0.105E-04    -0.294E-04    -0.523E-05    -0.393E-05
      30    -0.502E-05    -0.371E-04     0.811E-05     0.780E-05
 FUNCTIONS
         theta         rebin         imbin        rebout        imbout
    -0.314E+01     0.362E-03     0.303E-04     0.340E-03    -0.131E-03
    -0.314E+01     0.375E-03     0.228E-04     0.331E-03    -0.146E-03
    -0.313E+01     0.386E-03     0.167E-04     0.320E-03    -0.163E-03
    -0.312E+01     0.396E-03     0.120E-04     0.307E-03    -0.185E-03
    -0.312E+01     0.404E-03     0.873E-05     0.292E-03    -0.209E-03
    -0.311E+01     0.411E-03     0.666E-05     0.274E-03    -0.238E-03
    -0.310E+01     0.416E-03     0.567E-05     0.255E-03    -0.270E-03
    -0.310E+01     0.420E-03     0.556E-05     0.233E-03    -0.305E-03
    -0.309E+01     0.422E-03     0.612E-05     0.209E-03    -0.343E-03
    -0.308E+01     0.423E-03     0.712E-05     0.183E-03    -0.383E-03
    -0.308E+01     0.421E-03     0.832E-05     0.155E-03    -0.424E-03
    -0.307E+01     0.419E-03     0.950E-05     0.124E-03    -0.466E-03
    -0.306E+01     0.414E-03     0.104E-04     0.907E-04    -0.508E-03
    -0.306E+01     0.409E-03     0.109E-04     0.554E-04    -0.549E-03
    -0.305E+01     0.402E-03     0.108E-04     0.180E-04    -0.588E-03
    -0.304E+01     0.394E-03     0.100E-04    -0.212E-04    -0.625E-03
    -0.304E+01     0.385E-03     0.841E-05    -0.622E-04    -0.658E-03
    -0.303E+01     0.375E-03     0.593E-05    -0.105E-03    -0.686E-03
    -0.302E+01     0.365E-03     0.258E-05    -0.148E-03    -0.709E-03
    -0.302E+01     0.354E-03    -0.161E-05    -0.193E-03    -0.726E-03
    -0.301E+01     0.344E-03    -0.659E-05    -0.238E-03    -0.737E-03
    -0.300E+01     0.334E-03    -0.123E-04    -0.283E-03    -0.742E-03
    -0.300E+01     0.324E-03    -0.185E-04    -0.329E-03    -0.739E-03
    -0.299E+01     0.315E-03    -0.253E-04    -0.373E-03    -0.729E-03
    -0.298E+01     0.307E-03    -0.324E-04    -0.417E-03    -0.712E-03
    -0.298E+01     0.300E-03    -0.399E-04    -0.459E-03    -0.688E-03
    -0.297E+01     0.295E-03    -0.475E-04    -0.499E-03    -0.658E-03
    -0.296E+01     0.291E-03    -0.552E-04    -0.537E-03    -0.622E-03
    -0.296E+01     0.289E-03    -0.631E-04    -0.572E-03    -0.580E-03
    -0.295E+01     0.289E-03    -0.712E-04    -0.604E-03    -0.534E-03
    -0.295E+01     0.291E-03    -0.794E-04    -0.633E-03    -0.485E-03
    -0.294E+01     0.294E-03    -0.880E-04    -0.658E-03    -0.434E-03
    -0.293E+01     0.300E-03    -0.970E-04    -0.679E-03    -0.380E-03
    -0.293E+01     0.307E-03    -0.107E-03    -0.697E-03    -0.326E-03
    -0.292E+01     0.316E-03    -0.117E-03    -0.710E-03    -0.273E-03
    -0.291E+01     0.327E-03    -0.129E-03    -0.719E-03    -0.221E-03
    -0.291E+01     0.339E-03    -0.142E-03    -0.724E-03    -0.172E-03
    -0.290E+01     0.352E-03    -0.157E-03    -0.725E-03    -0.126E-03
    -0.289E+01     0.366E-03    -0.174E-03    -0.721E-03    -0.843E-04
    -0.289E+01     0.381E-03    -0.193E-03    -0.714E-03    -0.470E-04
    -0.288E+01     0.396E-03    -0.215E-03    -0.704E-03    -0.149E-04
    -0.287E+01     0.411E-03    -0.239E-03    -0.690E-03     0.116E-04
    -0.287E+01     0.425E-03    -0.266E-03    -0.673E-03     0.325E-04
    -0.286E+01     0.439E-03    -0.295E-03    -0.654E-03     0.476E-04
    -0.285E+01     0.452E-03    -0.328E-03    -0.632E-03     0.571E-04
    -0.285E+01     0.464E-03    -0.363E-03    -0.609E-03     0.612E-04
    -0.284E+01     0.474E-03    -0.400E-03    -0.584E-03     0.603E-04
    -0.283E+01     0.482E-03    -0.440E-03    -0.559E-03     0.550E-04
    -0.283E+01     0.487E-03    -0.481E-03    -0.533E-03     0.457E-04
    -0.282E+01     0.490E-03    -0.524E-03    -0.506E-03     0.333E-04
    -0.281E+01     0.491E-03    -0.567E-03    -0.480E-03     0.183E-04
    -0.281E+01     0.488E-03    -0.611E-03    -0.454E-03     0.164E-05
    -0.280E+01     0.483E-03    -0.654E-03    -0.429E-03    -0.160E-04
    -0.279E+01     0.474E-03    -0.696E-03    -0.406E-03    -0.339E-04
    -0.279E+01     0.462E-03    -0.736E-03    -0.383E-03    -0.512E-04
    -0.278E+01     0.447E-03    -0.774E-03    -0.363E-03    -0.674E-04
    -0.278E+01     0.430E-03    -0.808E-03    -0.343E-03    -0.818E-04
    -0.277E+01     0.409E-03    -0.839E-03    -0.326E-03    -0.940E-04
    -0.276E+01     0.385E-03    -0.866E-03    -0.310E-03    -0.103E-03
    -0.276E+01     0.359E-03    -0.888E-03    -0.297E-03    -0.110E-03
    -0.275E+01     0.330E-03    -0.905E-03    -0.285E-03    -0.114E-03
    -0.274E+01     0.299E-03    -0.917E-03    -0.275E-03    -0.114E-03
    -0.274E+01     0.267E-03    -0.924E-03    -0.267E-03    -0.111E-03
    -0.273E+01     0.233E-03    -0.925E-03    -0.260E-03    -0.105E-03
    -0.272E+01     0.197E-03    -0.921E-03    -0.256E-03    -0.967E-04
    -0.272E+01     0.161E-03    -0.912E-03    -0.252E-03    -0.857E-04
    -0.271E+01     0.125E-03    -0.898E-03    -0.250E-03    -0.728E-04
    -0.270E+01     0.879E-04    -0.881E-03    -0.249E-03    -0.583E-04
    -0.270E+01     0.514E-04    -0.859E-03    -0.250E-03    -0.427E-04
    -0.269E+01     0.154E-04    -0.835E-03    -0.251E-03    -0.265E-04
    -0.268E+01    -0.197E-04    -0.809E-03    -0.253E-03    -0.102E-04
    -0.268E+01    -0.537E-04    -0.781E-03    -0.256E-03     0.571E-05
