 IPDIAG_EXTFLX: external fluxes on the control surface
       lmpert:      65
      mthsurf:     960
 MODES
       m         refin         imfin        refout        imfout
     -32     0.249E-03     0.734E-02    -0.349E-04     0.427E-03
     -31     0.263E-03     0.857E-02     0.486E-04    -0.805E-05
     -30     0.274E-03     0.903E-02     0.350E-04    -0.315E-03
     -29     0.329E-03     0.854E-02    -0.215E-04    -0.452E-04
     -28     0.430E-03     0.726E-02    -0.727E-04     0.362E-03
     -27     0.460E-03     0.554E-02    -0.206E-05     0.153E-03
     -26     0.352E-03     0.344E-02     0.109E-03    -0.422E-03
     -25     0.325E-03     0.780E-03     0.997E-04    -0.469E-03
     -24     0.533E-03    -0.237E-02    -0.439E-04     0.167E-03
     -23     0.591E-03    -0.579E-02    -0.153E-03     0.650E-03
     -22     0.443E-03    -0.950E-02    -0.745E-04     0.262E-03
     -21     0.564E-03    -0.133E-01     0.109E-03    -0.669E-03
     -20     0.703E-03    -0.171E-01     0.212E-03    -0.110E-02
     -19     0.656E-03    -0.210E-01     0.118E-03    -0.471E-03
     -18     0.701E-03    -0.246E-01    -0.846E-04     0.807E-03
     -17     0.686E-03    -0.275E-01    -0.242E-03     0.159E-02
     -16     0.805E-03    -0.302E-01    -0.242E-03     0.117E-02
     -15     0.615E-03    -0.318E-01    -0.140E-03    -0.440E-03
     -14     0.737E-03    -0.326E-01     0.537E-04    -0.217E-02
     -13     0.588E-03    -0.323E-01     0.119E-03    -0.318E-02
     -12     0.578E-03    -0.306E-01     0.209E-03    -0.219E-02
     -11     0.498E-03    -0.278E-01     0.232E-03    -0.175E-03
     -10     0.442E-03    -0.237E-01    -0.411E-04     0.392E-02
      -9     0.391E-03    -0.184E-01     0.440E-03     0.693E-02
      -8     0.356E-03    -0.123E-01    -0.594E-03     0.104E-01
      -7     0.341E-03    -0.541E-02     0.726E-03     0.110E-01
      -6     0.353E-03     0.170E-02    -0.765E-03     0.924E-02
      -5     0.355E-03     0.871E-02     0.626E-03     0.502E-02
      -4     0.408E-03     0.151E-01     0.130E-03    -0.362E-02
      -3     0.442E-03     0.205E-01     0.488E-03    -0.133E-01
      -2     0.216E-03     0.243E-01     0.930E-03    -0.237E-01
      -1     0.564E-03     0.274E-01     0.116E-02    -0.325E-01
       0     0.308E-07     0.267E-01     0.827E-03    -0.357E-01
       1    -0.564E-03     0.274E-01     0.731E-03    -0.316E-01
       2    -0.215E-03     0.243E-01     0.755E-03    -0.207E-01
       3    -0.442E-03     0.205E-01     0.755E-03    -0.556E-02
       4    -0.408E-03     0.151E-01     0.440E-03     0.101E-01
       5    -0.355E-03     0.871E-02     0.155E-05     0.224E-01
       6    -0.353E-03     0.170E-02    -0.331E-03     0.278E-01
       7    -0.340E-03    -0.541E-02    -0.428E-03     0.246E-01
       8    -0.356E-03    -0.123E-01    -0.370E-03     0.138E-01
       9    -0.390E-03    -0.184E-01    -0.309E-03    -0.120E-02
      10    -0.442E-03    -0.237E-01    -0.351E-03    -0.162E-01
      11    -0.502E-03    -0.278E-01    -0.491E-03    -0.273E-01
      12    -0.564E-03    -0.307E-01    -0.655E-03    -0.326E-01
      13    -0.623E-03    -0.322E-01    -0.758E-03    -0.317E-01
      14    -0.671E-03    -0.326E-01    -0.757E-03    -0.260E-01
      15    -0.704E-03    -0.319E-01    -0.658E-03    -0.174E-01
      16    -0.726E-03    -0.301E-01    -0.506E-03    -0.818E-02
      17    -0.715E-03    -0.276E-01    -0.357E-03    -0.336E-05
      18    -0.719E-03    -0.245E-01    -0.244E-03     0.598E-02
      19    -0.659E-03    -0.209E-01    -0.175E-03     0.919E-02
      20    -0.637E-03    -0.172E-01    -0.137E-03     0.959E-02
      21    -0.616E-03    -0.132E-01    -0.121E-03     0.761E-02
      22    -0.501E-03    -0.949E-02    -0.125E-03     0.417E-02
      23    -0.492E-03    -0.580E-02    -0.141E-03     0.606E-03
      24    -0.530E-03    -0.235E-02    -0.141E-03    -0.170E-02
      25    -0.391E-03     0.746E-03    -0.736E-04    -0.199E-02
      26    -0.349E-03     0.343E-02     0.520E-04    -0.694E-03
      27    -0.430E-03     0.557E-02     0.159E-03     0.733E-03
      28    -0.423E-03     0.728E-02     0.164E-03     0.964E-03
      29    -0.336E-03     0.852E-02     0.468E-04     0.818E-04
      30    -0.278E-03     0.901E-02    -0.284E-04    -0.585E-03
      31    -0.266E-03     0.856E-02    -0.888E-04    -0.334E-03
      32    -0.254E-03     0.735E-02     0.428E-04     0.426E-03
