 IPOUT_RESP: response parameters
          mode      s_energy     s_permeab
             1     0.650E-01     0.984E-01
             2    -0.326E+00    -0.240E+00
             3    -0.230E+00    -0.490E+00
             4    -0.529E+00    -0.514E+00
             5    -0.150E+01    -0.633E+00
             6    -0.669E+00    -0.693E+00
             7    -0.809E+00    -0.711E+00
             8    -0.773E+00    -0.736E+00
             9    -0.740E+00    -0.758E+00
            10    -0.897E+00    -0.788E+00
