 IPOUT_SINGFLD: deltas, singular currents and normal fields
     distance:     0.500E-03
        rsing:            11
       q           psi    abs(delta)   abs(delcur)   abs(corcur)  abs(singcur)  abs(sgpower)  abs(singbno)     singbnost    singmaxtor  islandhwidth      chirikov
   1.000     0.558E-01     0.362E+00     0.285E+05     0.829E+01     0.285E+05     0.255E+10     0.808E-02     0.586E-02     0.970E+02     0.221E+00     0.116E+01
   2.000     0.435E+00     0.302E-02     0.652E+03     0.375E+00     0.652E+03     0.417E+07     0.124E-03     0.827E-04     0.884E-01     0.271E-01     0.289E+00
   3.000     0.623E+00     0.127E-02     0.242E+03     0.107E+01     0.241E+03     0.712E+06     0.534E-04     0.343E-04     0.159E-01     0.145E-01     0.252E+00
   4.000     0.738E+00     0.114E-02     0.190E+03     0.256E+01     0.187E+03     0.477E+06     0.483E-04     0.301E-04     0.114E-01     0.111E-01     0.296E+00
   5.000     0.814E+00     0.149E-02     0.214E+03     0.417E+01     0.209E+03     0.632E+06     0.621E-04     0.379E-04     0.161E-01     0.103E-01     0.396E+00
   6.000     0.865E+00     0.175E-02     0.218E+03     0.546E+01     0.213E+03     0.676E+06     0.718E-04     0.428E-04     0.184E-01     0.916E-02     0.490E+00
   7.000     0.903E+00     0.209E-02     0.226E+03     0.651E+01     0.220E+03     0.737E+06     0.836E-04     0.487E-04     0.214E-01     0.834E-02     0.599E+00
   8.000     0.931E+00     0.347E-02     0.325E+03     0.727E+01     0.318E+03     0.157E+07     0.135E-03     0.771E-04     0.482E-01     0.904E-02     0.857E+00
   9.000     0.952E+00     0.356E-02     0.284E+03     0.819E+01     0.277E+03     0.121E+07     0.132E-03     0.732E-04     0.391E-01     0.759E-02     0.925E+00
  10.000     0.968E+00     0.759E-02     0.506E+03     0.100E+02     0.498E+03     0.394E+07     0.264E-03     0.143E-03     0.135E+00     0.941E-02     0.143E+01
  11.000     0.981E+00     0.130E-01     0.711E+03     0.441E+02     0.690E+03     0.763E+07     0.407E-03     0.215E-03     0.274E+00     0.101E-01     0.154E+01
