
   ising   psi         q          di      re alpha   im alpha

     1  2.919E-01  2.000E+00 -6.223E-01  7.889E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

    0  1.000E-04  1.000E-04  1.434E+00  5.660E-01  0.000E+00
    1  1.000E-04  4.075E-08  1.434E+00  5.660E-01  2.688E-06
    2  1.000E-04  3.377E-09  1.434E+00  5.660E-01  2.911E-06
    3  1.000E-04  3.377E-09  1.434E+00  5.660E-01  3.134E-06
    4  1.001E-04  6.753E-09  1.434E+00  5.660E-01  3.579E-06
    5  1.001E-04  6.753E-09  1.434E+00  5.660E-01  4.025E-06
    6  1.001E-04  6.753E-09  1.434E+00  5.660E-01  4.470E-06
    7  1.001E-04  6.753E-08  1.434E+00  5.660E-01  8.925E-06
    8  1.002E-04  6.753E-08  1.434E+00  5.660E-01  1.338E-05
    9  1.003E-04  6.753E-08  1.434E+00  5.660E-01  1.784E-05
   10  1.005E-04  2.578E-07  1.434E+00  5.660E-01  3.484E-05
   11  1.008E-04  2.578E-07  1.434E+00  5.660E-01  5.185E-05
   12  1.010E-04  2.578E-07  1.434E+00  5.660E-01  6.885E-05
   13  1.013E-04  2.578E-07  1.434E+00  5.660E-01  8.586E-05
   14  1.018E-04  4.502E-07  1.434E+00  5.660E-01  1.156E-04
   15  1.022E-04  4.502E-07  1.434E+00  5.660E-01  1.453E-04
   16  1.027E-04  4.502E-07  1.434E+00  5.660E-01  1.750E-04
   17  1.031E-04  4.502E-07  1.434E+00  5.660E-01  2.047E-04
   18  1.040E-04  9.128E-07  1.434E+00  5.660E-01  2.649E-04
   19  1.049E-04  9.128E-07  1.434E+00  5.660E-01  3.251E-04
   20  1.058E-04  9.128E-07  1.434E+00  5.660E-01  3.853E-04
   21  1.068E-04  9.128E-07  1.434E+00  5.660E-01  4.455E-04
   22  1.077E-04  9.128E-07  1.434E+00  5.660E-01  5.057E-04
   23  1.087E-04  1.039E-06  1.434E+00  5.660E-01  5.743E-04
   24  1.097E-04  1.039E-06  1.434E+00  5.660E-01  6.429E-04
   25  1.108E-04  1.039E-06  1.434E+00  5.660E-01  7.115E-04
   26  1.118E-04  1.039E-06  1.434E+00  5.660E-01  7.800E-04
   27  1.129E-04  1.039E-06  1.434E+00  5.660E-01  8.486E-04
   28  1.139E-04  1.039E-06  1.434E+00  5.660E-01  9.172E-04
   29  1.149E-04  1.039E-06  1.434E+00  5.660E-01  9.857E-04
   30  1.160E-04  1.039E-06  1.434E+00  5.660E-01  1.054E-03
   31  1.170E-04  1.039E-06  1.434E+00  5.660E-01  1.123E-03
   32  1.181E-04  1.039E-06  1.434E+00  5.660E-01  1.191E-03
   33  1.191E-04  1.039E-06  1.434E+00  5.660E-01  1.260E-03
   34  1.201E-04  1.039E-06  1.434E+00  5.660E-01  1.329E-03
   35  1.212E-04  1.039E-06  1.434E+00  5.660E-01  1.397E-03
   36  1.222E-04  1.039E-06  1.434E+00  5.660E-01  1.466E-03
   37  1.234E-04  1.159E-06  1.434E+00  5.660E-01  1.542E-03
   38  1.245E-04  1.159E-06  1.434E+00  5.660E-01  1.619E-03
   39  1.257E-04  1.159E-06  1.434E+00  5.660E-01  1.695E-03
   40  1.269E-04  1.159E-06  1.434E+00  5.660E-01  1.771E-03
   41  1.280E-04  1.159E-06  1.434E+00  5.660E-01  1.848E-03
   42  1.292E-04  1.159E-06  1.434E+00  5.660E-01  1.924E-03
   43  1.303E-04  1.159E-06  1.434E+00  5.660E-01  2.001E-03
   44  1.315E-04  1.159E-06  1.434E+00  5.660E-01  2.077E-03
   45  1.328E-04  1.291E-06  1.434E+00  5.660E-01  2.162E-03
