 IPEC_CONTROL: Plasma response for an external perturbation on the control surface
 
      mpert =  33
  vacuum energy =   1.40728172E+01
 surface energy =   2.21900113E+01
  plasma energy =   1.65856186E+01
 
 jac_type = boozer          
 
    m        real(bin)        imag(bin)       real(bout)       imag(bout)
  -12  -9.05117299E-06  -1.56471449E-05   2.48211451E-05   1.73332610E-07
  -11   2.89159965E-06  -8.35908284E-06   5.64825068E-05  -2.29474353E-06
  -10   1.97309243E-05   7.88934271E-07   3.46474249E-05   4.99715505E-06
   -9   4.08910969E-05   1.11664666E-05   4.72471579E-05   2.22876475E-05
   -8   6.43113838E-05   2.56563828E-05   8.52430159E-05   3.68112870E-05
   -7   8.96953695E-05   4.70688556E-05   1.24166605E-04   6.06438441E-05
   -6   1.19025616E-04   6.65508712E-05   1.62480758E-04   8.65026629E-05
   -5   1.43802368E-04   6.76086254E-05   2.07993865E-04   9.88474894E-05
   -4   1.57024393E-04   6.61978478E-05   2.40007047E-04   9.60792553E-05
   -3   1.83064283E-04   8.76953174E-05   2.69278434E-04   1.38891996E-04
   -2   2.40962556E-04   1.47891642E-04   2.99348358E-04   1.80769476E-04
   -1   2.66865183E-04   9.54823251E-05   4.60438196E-04   1.80629111E-04
    0  -4.72860054E-04  -1.51730149E-04  -4.96673216E-04  -2.23836427E-04
    1   3.75911788E-04   9.89340170E-05   2.27606006E-04   8.85613240E-05
    2   1.34652427E-04   5.44752611E-05   1.31681108E-04  -8.70132562E-08
    3   8.34201923E-05   1.57554810E-05  -3.36041556E-05   1.94080846E-05
    4   2.99509240E-05   7.24380560E-06  -8.39872761E-05   9.92357749E-05
    5   2.28243742E-05  -1.81653672E-05  -1.12828369E-05  -2.74507284E-05
    6   7.56658470E-06  -3.67697477E-05  -1.97362833E-05  -1.00403672E-04
    7  -9.97957749E-06  -3.92330600E-05  -2.34321425E-05  -8.83095384E-05
    8  -1.91586626E-05  -3.61064589E-05  -2.01390797E-05  -7.79287731E-05
    9  -2.01347077E-05  -3.38528532E-05  -3.30947745E-05  -6.59430837E-05
   10  -1.69951673E-05  -3.02271628E-05  -2.30447963E-05  -4.61701844E-05
   11  -1.20313768E-05  -2.32350288E-05  -1.27526094E-05  -3.81239394E-05
   12  -5.77469254E-06  -1.49733420E-05  -9.13724075E-06  -2.47367185E-05
   13   7.25317657E-07  -7.34968174E-06  -1.72127548E-06  -1.34073308E-05
   14   6.48199962E-06  -7.71028945E-07   5.34210573E-06  -3.50960739E-06
   15   1.13163581E-05   4.73651896E-06   1.13444711E-05   5.20893466E-06
   16   1.51640207E-05   9.19147317E-06   1.51419137E-05   8.16964112E-06
   17   1.77281593E-05   1.23563903E-05   1.64672624E-05   7.46811031E-06
   18   1.91910361E-05   1.43475402E-05   1.95924607E-05   1.59451062E-05
   19   1.95725083E-05   1.53587596E-05   3.46543601E-05   3.33834294E-05
   20   1.92501434E-05   1.54759358E-05   3.85784841E-05   2.75298359E-05
 
     jac_in = pest       jsurf_in = 0   tmag_in = 1
 
    m        real(bin)        imag(bin)       real(bout)       imag(bout)
  -64   5.06942366E-10   2.64146077E-10   7.36207517E-10   3.29349721E-10
  -63   2.94060961E-10   2.24084672E-10   5.88110009E-10   2.78280674E-10
  -62   5.42511633E-10   2.30542175E-10   8.34640513E-10   3.42258672E-10
  -61   5.45171952E-10   1.27418290E-10   8.81300556E-10   1.54465570E-10
  -60   5.45936156E-10   2.05544349E-10   8.73971867E-10   2.52226406E-10
  -59   5.42405657E-10   4.97587128E-11   8.82108752E-10  -1.21535290E-12
  -58   5.70856861E-10   2.30333319E-10   8.99428526E-10   2.57600306E-10
  -57   4.17448697E-10  -2.06427049E-10   6.80911049E-10  -2.67961493E-10
  -56   7.03061395E-10  -2.79060294E-11   9.19436187E-10  -1.15706553E-10
  -55   4.41682497E-10   4.74295456E-12   6.20477576E-10  -1.40283760E-10
  -54   4.93243790E-10  -6.69351539E-11   5.30063586E-10  -1.50836496E-10
  -53   5.52246936E-10  -2.30804372E-10   4.00662683E-10  -4.40291974E-10
  -52   5.66035683E-10   1.11324750E-10   2.49093846E-10  -1.81771087E-10
  -51   1.71645968E-10   1.26876947E-10  -4.30724574E-10  -1.40682996E-10
  -50   9.61558372E-11  -5.62400734E-11  -1.00558346E-09  -4.66586521E-10
  -49  -1.21541007E-10   1.53245452E-10  -1.64495582E-09  -3.79534133E-10
  -48  -1.07894332E-09   6.54784007E-11  -3.34547934E-09  -6.41963706E-10
  -47  -1.57753737E-09  -1.48152852E-10  -4.65122335E-09  -1.04000530E-09
  -46  -2.93597933E-09  -2.92812816E-10  -7.13514039E-09  -1.51330746E-09
  -45  -4.14632996E-09  -8.49855903E-10  -9.55832870E-09  -2.44064529E-09
  -44  -6.21138089E-09  -1.13869633E-09  -1.32084290E-08  -3.24649161E-09
  -43  -8.31091981E-09  -1.85346527E-09  -1.70384593E-08  -4.45918909E-09
  -42  -1.12398772E-08  -2.66452679E-09  -2.21619622E-08  -5.94023205E-09
  -41  -1.40754084E-08  -3.67272081E-09  -2.72834735E-08  -7.71985327E-09
  -40  -1.81990810E-08  -4.46776535E-09  -3.41250711E-08  -9.28595939E-09
  -39  -2.23604431E-08  -6.03851988E-09  -4.13043019E-08  -1.17255469E-08
  -38  -2.71366344E-08  -7.36105115E-09  -4.94260793E-08  -1.40758509E-08
  -37  -3.26524222E-08  -8.96516071E-09  -5.85541730E-08  -1.67908174E-08
  -36  -3.88845671E-08  -1.07615159E-08  -6.87268280E-08  -1.97715448E-08
  -35  -4.55784837E-08  -1.29479642E-08  -7.97902227E-08  -2.32919958E-08
  -34  -5.27979508E-08  -1.50687424E-08  -9.15013408E-08  -2.69475526E-08
  -33  -6.10850036E-08  -1.76298479E-08  -1.04672460E-07  -3.10176616E-08
  -32  -6.95717505E-08  -2.03564939E-08  -1.18331843E-07  -3.55458229E-08
  -31  -7.89163618E-08  -2.33820214E-08  -1.33103480E-07  -4.03267633E-08
  -30  -8.84880576E-08  -2.66584238E-08  -1.48376372E-07  -4.57292774E-08
  -29  -9.90783510E-08  -3.01929019E-08  -1.64801133E-07  -5.12266998E-08
  -28  -1.09652176E-07  -3.43621348E-08  -1.81240466E-07  -5.77064733E-08
  -27  -1.21245616E-07  -3.85317622E-08  -1.98270074E-07  -6.37929148E-08
  -26  -1.32803263E-07  -4.43493574E-08  -2.14018167E-07  -7.14993651E-08
  -25  -1.44964891E-07  -4.99978117E-08  -2.27908898E-07  -7.78444813E-08
  -24  -1.57667398E-07  -5.82826828E-08  -2.37729974E-07  -8.55084240E-08
  -23  -1.68438893E-07  -6.85564761E-08  -2.37164046E-07  -9.20775619E-08
  -22  -1.77906499E-07  -8.04004827E-08  -2.21864389E-07  -9.54711950E-08
  -21  -1.83235229E-07  -9.91294426E-08  -1.77746659E-07  -9.85000092E-08
  -20  -1.73425736E-07  -1.19799112E-07  -8.45765632E-08  -8.81010042E-08
  -19  -1.57108266E-07  -1.48922156E-07   8.39053535E-08  -7.38260496E-08
  -18  -7.96295406E-08  -1.94801053E-07   3.88887822E-07  -1.94795839E-08
  -17  -1.42816436E-08  -2.21112422E-07   8.95339289E-07   2.98887633E-08
  -16   2.91453194E-07  -4.12850870E-07   1.80693322E-06   2.48887025E-07
  -15   4.51347576E-07  -2.08221751E-07   3.13798560E-06   3.36295733E-07
  -14   1.18975180E-06  -1.46338581E-06   6.20551088E-06   9.52093575E-07
  -13   2.31682198E-06   2.16705430E-07   9.87734027E-06   1.51498605E-06
  -12  -2.75076490E-06  -1.42043957E-05   3.38701202E-05   2.38335247E-06
  -11   1.13126184E-05  -4.22387859E-06   6.60660494E-05   3.67467592E-06
  -10   3.16607679E-05   7.60234131E-06   4.49283105E-05   1.11954067E-05
   -9   5.30453207E-05   1.88796328E-05   5.78523906E-05   3.14447291E-05
   -8   7.57923201E-05   3.31591506E-05   9.95584086E-05   4.57782281E-05
