 IPEC_PMODB_CHEBYSHEV: Reconstructed perturbed mod b by chebyshev
 
    jac_out = hamada  
      cstep =    256      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)       real(divx)       imag(divx)
   1.00000000E-03  -12   4.80714415E-08  -4.24474714E-08  -1.12884441E-07   8.51501897E-08
   1.00000000E-03  -11   4.20711562E-08  -2.69086858E-08  -1.13065805E-07  -4.37041909E-09
   1.00000000E-03  -10   1.69945726E-07   1.17382694E-07  -3.30958375E-07  -2.33604694E-07
   1.00000000E-03   -9   1.02876303E-07   4.47873124E-08  -3.30645301E-07  -1.89653654E-07
   1.00000000E-03   -8   3.20272564E-07   2.22907589E-07  -6.27840070E-07  -4.54093056E-07
   1.00000000E-03   -7   1.34261888E-07   1.14553597E-07  -5.91471122E-07  -3.69291607E-07
   1.00000000E-03   -6   5.67685233E-07   3.02095540E-07  -9.75626549E-07  -6.36611628E-07
   1.00000000E-03   -5   4.51991928E-08  -1.47587752E-07  -6.22422624E-07  -4.21400900E-08
   1.00000000E-03   -4  -1.52638945E-06   4.08518553E-06   3.26013273E-06  -7.85963281E-06
   1.00000000E-03   -3   2.94570995E-06  -4.57838489E-06  -3.83008679E-06   4.60985235E-06
   1.00000000E-03   -2  -1.00283508E-04   1.54713225E-04   1.89650782E-04  -2.92645320E-04
   1.00000000E-03   -1   7.96203516E-06  -9.61259936E-06  -2.45051861E-05   3.22806374E-05
   1.00000000E-03    0   4.94552662E-04  -7.73319274E-04  -6.89386138E-04   1.05539237E-03
   1.00000000E-03    1   1.70532395E-05  -5.32723971E-06  -5.77574732E-03   7.69158815E-03
   1.00000000E-03    2  -2.00242815E-05   3.77472294E-05  -3.05452368E-05   1.59722725E-05
   1.00000000E-03    3   3.78934368E-06   1.70002119E-06  -1.51739374E-05  -1.62216227E-06
   1.00000000E-03    4   3.66946867E-06   2.50122959E-06  -2.75908150E-05   2.53444476E-05
   1.00000000E-03    5  -5.81089606E-06  -5.27518351E-06   8.62963498E-06   1.22710943E-05
   1.00000000E-03    6  -5.50714924E-06  -5.82173687E-06   1.05779467E-05   1.23630351E-05
   1.00000000E-03    7  -3.41957057E-07  -3.65696936E-07   2.69514626E-06   3.39447150E-06
   1.00000000E-03    8  -1.27929206E-06  -9.65411590E-07   2.41216385E-06   1.98258972E-06
   1.00000000E-03    9   4.70851332E-07   2.66743265E-07   2.94596012E-08   3.28184000E-07
   1.00000000E-03   10  -7.84376307E-07  -3.39127297E-07   1.08759463E-06   6.57322382E-07
   1.00000000E-03   11   1.40313032E-07  -1.07777492E-07   2.24307521E-07   5.03408601E-07
   1.00000000E-03   12  -4.45420075E-07  -1.21831110E-07   6.85190967E-07   4.50965404E-07
   1.00000000E-03   13  -5.94494883E-08  -2.28716056E-07   3.59233770E-07   6.07804907E-07
   1.00000000E-03   14  -2.84919747E-07  -1.46810266E-07   5.41832530E-07   5.30580730E-07
   1.00000000E-03   15  -1.46442465E-07  -1.95904835E-07   4.14048827E-07   5.11032355E-07
   1.00000000E-03   16  -1.86822727E-07  -1.43410786E-07   4.38224262E-07   4.50578977E-07
   1.00000000E-03   17  -1.04575577E-07  -1.26136180E-07   2.94512966E-07   3.68478252E-07
   1.00000000E-03   18  -9.86815658E-08  -9.42449709E-08   2.28685303E-07   2.61243663E-07
   1.00000000E-03   19  -5.08935235E-08  -6.02466252E-08   1.81964755E-07   1.24751624E-07
   1.00000000E-03   20  -6.17421245E-09  -9.38443094E-09  -4.56375340E-07  -4.21671565E-07
   4.85627208E-03  -12  -1.70344729E-07   1.45339002E-07   4.15780443E-07  -2.60330825E-07
   4.85627208E-03  -11  -1.48671591E-07   9.58088852E-08   3.93938945E-07   2.14464883E-08
   4.85627208E-03  -10  -6.03970193E-07  -4.25990262E-07   1.18448250E-06   8.27856703E-07
   4.85627208E-03   -9  -3.60491426E-07  -1.48487025E-07   1.21917230E-06   7.27318074E-07
   4.85627208E-03   -8  -1.12996888E-06  -8.21585765E-07   2.13683700E-06   1.61612468E-06
   4.85627208E-03   -7  -3.83661167E-07  -5.05923245E-07   1.93081613E-06   1.56758939E-06
   4.85627208E-03   -6  -2.36127253E-06  -5.99903025E-07   4.10143155E-06   1.46499960E-06
   4.85627208E-03   -5   1.60339439E-06  -1.94849590E-06  -1.85355423E-07   3.22358235E-06
   4.85627208E-03   -4  -1.15451929E-05   1.09004573E-05   1.97263601E-05  -1.89272629E-05
