 IPEC_PMODB_CHETEST: Reconstructed perturbed mod b by chebyshev
 
    jac_out = boozer  
      cstep =    200      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)
   1.00000000E-04  -12   2.13956971E-07  -1.59067665E-07
   1.00000000E-04  -11   1.89550712E-07  -1.87654182E-07
   1.00000000E-04  -10   1.81932398E-07  -2.73299529E-07
   1.00000000E-04   -9   2.56885312E-07  -3.17034172E-07
   1.00000000E-04   -8   2.57726106E-07  -3.46867060E-07
   1.00000000E-04   -7   2.73230365E-07  -3.92415027E-07
   1.00000000E-04   -6   4.79211958E-07  -3.52351039E-07
   1.00000000E-04   -5   8.91266821E-07  -8.97936476E-07
   1.00000000E-04   -4   7.72945662E-07   1.50818370E-06
   1.00000000E-04   -3  -6.18829506E-07  -6.95566048E-07
   1.00000000E-04   -2   3.17811814E-06   4.52206112E-05
   1.00000000E-04   -1   8.50172849E-06  -1.62127227E-05
   1.00000000E-04    0  -5.56909572E-04   1.43642747E-03
   1.00000000E-04    1   3.06642719E-06  -9.00885803E-06
   1.00000000E-04    2   8.50368515E-06   1.38471111E-05
   1.00000000E-04    3   1.81923383E-07  -6.14003487E-06
   1.00000000E-04    4   7.63416183E-06  -6.06360979E-06
   1.00000000E-04    5  -1.99932070E-06   2.75047591E-06
   1.00000000E-04    6  -8.50046285E-06   9.21949618E-06
   1.00000000E-04    7  -4.11073885E-06   3.07192528E-06
   1.00000000E-04    8  -3.44055963E-06   3.30971573E-06
   1.00000000E-04    9  -1.85023648E-06   1.76237228E-06
   1.00000000E-04   10  -1.12359740E-06   1.39254236E-06
   1.00000000E-04   11  -8.36198558E-07   8.72373951E-07
   1.00000000E-04   12  -6.05433717E-07   6.24509564E-07
   1.00000000E-04   13  -4.47393358E-07   4.82246139E-07
   1.00000000E-04   14  -3.95570841E-07   3.72339845E-07
   1.00000000E-04   15  -3.45594967E-07   3.34080520E-07
   1.00000000E-04   16  -3.20668787E-07   3.05484071E-07
   1.00000000E-04   17  -3.19915244E-07   2.99079254E-07
   1.00000000E-04   18  -2.70813640E-07   2.93578651E-07
   1.00000000E-04   19  -2.55096615E-07   1.78553132E-07
   1.00000000E-04   20  -1.21389613E-07   1.29526577E-07
   5.04595443E-03  -12  -2.28178076E-07   1.69573462E-07
   5.04595443E-03  -11  -2.01091632E-07   1.99614935E-07
   5.04595443E-03  -10  -1.93624476E-07   2.94641123E-07
   5.04595443E-03   -9  -2.71582366E-07   3.36896138E-07
   5.04595443E-03   -8  -2.75122268E-07   4.05827569E-07
   5.04595443E-03   -7  -2.87414216E-07   4.14431291E-07
   5.04595443E-03   -6  -5.17624931E-07   7.48399542E-07
   5.04595443E-03   -5  -9.46585054E-07   9.22866207E-07
   5.04595443E-03   -4  -8.63127861E-07   2.71781457E-06
   5.04595443E-03   -3   6.11511504E-07   5.16294152E-07
   5.04595443E-03   -2  -2.98505510E-06   1.15821444E-05
   5.04595443E-03   -1   8.43613670E-06  -2.26521866E-05
   5.04595443E-03    0  -6.97823667E-04   1.81449745E-03
   5.04595443E-03    1   1.02823508E-05  -8.03707044E-06
   5.04595443E-03    2  -1.37655312E-05   4.75904585E-05
   5.04595443E-03    3  -4.90237000E-07   7.36515150E-06
   5.04595443E-03    4  -8.14400840E-06   6.64191644E-06
   5.04595443E-03    5   2.12687927E-06  -2.91460874E-06
   5.04595443E-03    6   9.06397062E-06  -9.80952603E-06
   5.04595443E-03    7   4.38844483E-06  -3.27668856E-06
   5.04595443E-03    8   3.66576850E-06  -3.52581878E-06
   5.04595443E-03    9   1.97296955E-06  -1.87790658E-06
   5.04595443E-03   10   1.19691901E-06  -1.48307451E-06
   5.04595443E-03   11   8.91437766E-07  -9.29279810E-07
   5.04595443E-03   12   6.45093754E-07  -6.64930127E-07
   5.04595443E-03   13   4.76466113E-07  -5.13559681E-07
   5.04595443E-03   14   4.21506488E-07  -3.96961037E-07
   5.04595443E-03   15   3.68397006E-07  -3.56292652E-07
   5.04595443E-03   16   3.41667442E-07  -3.25197738E-07
   5.04595443E-03   17   3.40623296E-07  -3.18997206E-07
   5.04595443E-03   18   2.88569554E-07  -3.12651376E-07
   5.04595443E-03   19   2.72112101E-07  -1.89756483E-07
   5.04595443E-03   20   1.29206852E-07  -1.37851780E-07
   9.99190886E-03  -12  -1.32354813E-07   1.00487941E-07
   9.99190886E-03  -11  -1.17272694E-07   1.18122563E-07
   9.99190886E-03  -10  -1.15245605E-07   1.75865302E-07
   9.99190886E-03   -9  -1.57280341E-07   1.98282809E-07
   9.99190886E-03   -8  -1.63833503E-07   2.46230924E-07
   9.99190886E-03   -7  -1.66772619E-07   2.40088320E-07
   9.99190886E-03   -6  -3.03352663E-07   4.55923189E-07
   9.99190886E-03   -5  -5.52908598E-07   5.30101562E-07
   9.99190886E-03   -4  -5.02958430E-07   1.33224362E-06
   9.99190886E-03   -3   3.71896642E-07   2.34025860E-07
   9.99190886E-03   -2  -1.19298726E-06  -2.70020828E-06
   9.99190886E-03   -1   1.78436686E-05  -3.97258405E-05
   9.99190886E-03    0  -7.45770476E-04   1.93760801E-03
   9.99190886E-03    1   1.50381420E-05  -1.57476926E-05
   9.99190886E-03    2  -1.22014921E-05   6.30726545E-05
   9.99190886E-03    3  -4.34497580E-07   4.81263526E-06
   9.99190886E-03    4  -4.80160685E-06   3.98706629E-06
   9.99190886E-03    5   1.26160061E-06  -1.70128990E-06
   9.99190886E-03    6   5.26524626E-06  -5.76265800E-06
