
   ising   psi         q          di      re alpha   im alpha

     1  3.468E-01  2.000E+00 -4.985E-01  7.061E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

    0  1.000E-04  1.000E-04  1.431E+00  5.692E-01  0.000E+00
    1  1.000E-04  4.155E-08  1.431E+00  5.692E-01  2.326E-06
    2  1.000E-04  3.487E-09  1.431E+00  5.692E-01  2.521E-06
    3  1.000E-04  3.487E-09  1.431E+00  5.692E-01  2.716E-06
    4  1.001E-04  6.974E-09  1.431E+00  5.692E-01  3.106E-06
    5  1.001E-04  6.974E-09  1.431E+00  5.692E-01  3.497E-06
    6  1.001E-04  6.974E-09  1.431E+00  5.692E-01  3.887E-06
    7  1.001E-04  6.974E-08  1.431E+00  5.692E-01  7.791E-06
    8  1.002E-04  6.974E-08  1.431E+00  5.692E-01  1.169E-05
    9  1.003E-04  6.974E-08  1.431E+00  5.692E-01  1.560E-05
   10  1.005E-04  2.646E-07  1.431E+00  5.692E-01  3.041E-05
   11  1.008E-04  2.646E-07  1.431E+00  5.692E-01  4.523E-05
   12  1.011E-04  2.646E-07  1.431E+00  5.692E-01  6.004E-05
   13  1.013E-04  2.646E-07  1.431E+00  5.692E-01  7.485E-05
   14  1.018E-04  4.619E-07  1.431E+00  5.692E-01  1.007E-04
   15  1.023E-04  4.619E-07  1.431E+00  5.692E-01  1.266E-04
   16  1.027E-04  4.619E-07  1.431E+00  5.692E-01  1.524E-04
   17  1.032E-04  4.619E-07  1.431E+00  5.692E-01  1.783E-04
   18  1.041E-04  9.352E-07  1.431E+00  5.692E-01  2.306E-04
   19  1.051E-04  9.352E-07  1.431E+00  5.692E-01  2.830E-04
   20  1.060E-04  9.352E-07  1.431E+00  5.692E-01  3.353E-04
   21  1.069E-04  9.352E-07  1.431E+00  5.692E-01  3.877E-04
   22  1.079E-04  9.352E-07  1.431E+00  5.692E-01  4.400E-04
   23  1.089E-04  1.064E-06  1.431E+00  5.692E-01  4.996E-04
   24  1.100E-04  1.064E-06  1.431E+00  5.692E-01  5.591E-04
   25  1.111E-04  1.064E-06  1.431E+00  5.692E-01  6.187E-04
   26  1.121E-04  1.064E-06  1.431E+00  5.692E-01  6.782E-04
   27  1.132E-04  1.064E-06  1.431E+00  5.692E-01  7.378E-04
   28  1.142E-04  1.064E-06  1.431E+00  5.692E-01  7.973E-04
   29  1.153E-04  1.064E-06  1.431E+00  5.692E-01  8.568E-04
   30  1.164E-04  1.064E-06  1.431E+00  5.692E-01  9.164E-04
   31  1.174E-04  1.064E-06  1.431E+00  5.692E-01  9.759E-04
   32  1.185E-04  1.064E-06  1.431E+00  5.692E-01  1.035E-03
   33  1.196E-04  1.064E-06  1.431E+00  5.692E-01  1.095E-03
   34  1.206E-04  1.064E-06  1.431E+00  5.692E-01  1.155E-03
   35  1.217E-04  1.064E-06  1.431E+00  5.692E-01  1.214E-03
   36  1.228E-04  1.064E-06  1.431E+00  5.692E-01  1.274E-03
   37  1.239E-04  1.180E-06  1.431E+00  5.692E-01  1.340E-03
   38  1.251E-04  1.180E-06  1.431E+00  5.692E-01  1.406E-03
   39  1.263E-04  1.180E-06  1.431E+00  5.692E-01  1.472E-03
   40  1.275E-04  1.180E-06  1.431E+00  5.692E-01  1.538E-03
   41  1.287E-04  1.180E-06  1.431E+00  5.692E-01  1.604E-03
   42  1.298E-04  1.180E-06  1.431E+00  5.692E-01  1.670E-03
   43  1.310E-04  1.180E-06  1.431E+00  5.692E-01  1.736E-03
   44  1.322E-04  1.180E-06  1.431E+00  5.692E-01  1.802E-03
   45  1.335E-04  1.310E-06  1.431E+00  5.692E-01  1.875E-03
   46  1.348E-04  1.310E-06  1.431E+00  5.692E-01  1.949E-03
   47  1.361E-04  1.310E-06  1.431E+00  5.692E-01  2.022E-03
   48  1.374E-04  1.310E-06  1.431E+00  5.692E-01  2.095E-03
